refArea,Number of cases,Observation URI,references,publisher,disease,dataset,refPeriod
https://dbpedia.org/resource/Nabatieh_Governorate,6,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2015-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2015
https://dbpedia.org/resource/Nabatieh_Governorate,2,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2015-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2015-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2015
https://dbpedia.org/resource/Nabatieh_Governorate,3,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2015-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2015
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2015-12-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/12-2015
https://dbpedia.org/resource/Mount_Lebanon,9,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2015
https://dbpedia.org/resource/Mount_Lebanon,9,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-02-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/02-2015
https://dbpedia.org/resource/Mount_Lebanon,2,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-03-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/03-2015
https://dbpedia.org/resource/Mount_Lebanon,7,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-04-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/04-2015
https://dbpedia.org/resource/Mount_Lebanon,5,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-05-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/05-2015
https://dbpedia.org/resource/Mount_Lebanon,16,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-06-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/06-2015
https://dbpedia.org/resource/Mount_Lebanon,5,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-07-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/07-2015
https://dbpedia.org/resource/Mount_Lebanon,9,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2015
https://dbpedia.org/resource/Mount_Lebanon,12,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2015
https://dbpedia.org/resource/Mount_Lebanon,8,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2015
https://dbpedia.org/resource/Mount_Lebanon,10,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2015
https://dbpedia.org/resource/Mount_Lebanon,7,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2015-12-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/12-2015
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2016
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-02-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/02-2016
https://dbpedia.org/resource/Nabatieh_Governorate,3,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-03-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/03-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-04-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/04-2016
https://dbpedia.org/resource/Nabatieh_Governorate,4,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-05-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/05-2016
https://dbpedia.org/resource/Nabatieh_Governorate,2,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-06-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/06-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-07-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/07-2016
https://dbpedia.org/resource/Nabatieh_Governorate,2,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2016
https://dbpedia.org/resource/Nabatieh_Governorate,0,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2016
https://dbpedia.org/resource/Nabatieh_Governorate,1,http://linked.aub.edu.lb/CODEC/observation/Nabatieh-2016-12-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Nabatieh2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/12-2016
https://dbpedia.org/resource/Mount_Lebanon,7,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2016
https://dbpedia.org/resource/Mount_Lebanon,8,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-02-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/02-2016
https://dbpedia.org/resource/Mount_Lebanon,12,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-03-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/03-2016
https://dbpedia.org/resource/Mount_Lebanon,12,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-04-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/04-2016
https://dbpedia.org/resource/Mount_Lebanon,12,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-05-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/05-2016
https://dbpedia.org/resource/Mount_Lebanon,11,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-06-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/06-2016
https://dbpedia.org/resource/Mount_Lebanon,5,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-07-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/07-2016
https://dbpedia.org/resource/Mount_Lebanon,11,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2016
https://dbpedia.org/resource/Mount_Lebanon,13,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2016
https://dbpedia.org/resource/Mount_Lebanon,10,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2016
https://dbpedia.org/resource/Mount_Lebanon,8,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2016
https://dbpedia.org/resource/Mount_Lebanon,7,http://linked.aub.edu.lb/CODEC/observation/Mount_Lebanon-2016-12-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Mount2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/12-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-02-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/02-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-03-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/03-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-04-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/04-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-05-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/05-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-06-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/06-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-07-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/07-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2016
https://dbpedia.org/resource/North_Lebanon,1.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2016
https://dbpedia.org/resource/North_Lebanon,1.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2016
https://dbpedia.org/resource/North_Lebanon,0.0,http://linked.aub.edu.lb/CODEC/observation/North-2016-12-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/North2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/12-2016
https://dbpedia.org/resource/Beirut,2,http://linked.aub.edu.lb/CODEC/observation/Beirut-2016-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Beirut2016.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2016
